pairnum,halfpos,mat_1_half_tag,mat_1_whole_tag,mat_1_half_red,mat_1_total_red,mat_2_half_tag,mat_2_whole_tag,mat_2_half_red,mat_2_total_red
11,bottom,"<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_20/pair_11_mat_1_dim_10_r_24_bot_half.png"" width=""300"" height=""300"" >","<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_20/pair_11_mat_1_dim_10_r_52.png"" width=""300"" height=""300"" >",24,52,"<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_20/pair_11_mat_2_dim_10_r_21_bot_half.png"" width=""300"" height=""300"" >","<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_20/pair_11_mat_2_dim_10_r_47.png"" width=""300"" height=""300"" >",21,47
12,bottom,"<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_20/pair_12_mat_1_dim_10_r_25_bot_half.png"" width=""300"" height=""300"" >","<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_20/pair_12_mat_1_dim_10_r_49.png"" width=""300"" height=""300"" >",25,49,"<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_20/pair_12_mat_2_dim_10_r_26_bot_half.png"" width=""300"" height=""300"" >","<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_20/pair_12_mat_2_dim_10_r_55.png"" width=""300"" height=""300"" >",26,55
13,top,"<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_20/pair_13_mat_1_dim_10_r_22_top_half.png"" width=""300"" height=""300"" >","<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_20/pair_13_mat_1_dim_10_r_46.png"" width=""300"" height=""300"" >",22,46,"<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_20/pair_13_mat_2_dim_10_r_28_top_half.png"" width=""300"" height=""300"" >","<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_20/pair_13_mat_2_dim_10_r_45.png"" width=""300"" height=""300"" >",28,45
14,top,"<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_20/pair_14_mat_1_dim_10_r_22_top_half.png"" width=""300"" height=""300"" >","<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_20/pair_14_mat_1_dim_10_r_46.png"" width=""300"" height=""300"" >",22,46,"<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_20/pair_14_mat_2_dim_10_r_24_top_half.png"" width=""300"" height=""300"" >","<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_20/pair_14_mat_2_dim_10_r_57.png"" width=""300"" height=""300"" >",24,57
15,bottom,"<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_20/pair_15_mat_1_dim_10_r_24_bot_half.png"" width=""300"" height=""300"" >","<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_20/pair_15_mat_1_dim_10_r_48.png"" width=""300"" height=""300"" >",24,48,"<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_20/pair_15_mat_2_dim_10_r_28_bot_half.png"" width=""300"" height=""300"" >","<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_20/pair_15_mat_2_dim_10_r_56.png"" width=""300"" height=""300"" >",28,56
16,top,"<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_20/pair_16_mat_1_dim_10_r_27_top_half.png"" width=""300"" height=""300"" >","<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_20/pair_16_mat_1_dim_10_r_51.png"" width=""300"" height=""300"" >",27,51,"<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_20/pair_16_mat_2_dim_10_r_25_top_half.png"" width=""300"" height=""300"" >","<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_20/pair_16_mat_2_dim_10_r_50.png"" width=""300"" height=""300"" >",25,50
17,bottom,"<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_20/pair_17_mat_1_dim_10_r_24_bot_half.png"" width=""300"" height=""300"" >","<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_20/pair_17_mat_1_dim_10_r_49.png"" width=""300"" height=""300"" >",24,49,"<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_20/pair_17_mat_2_dim_10_r_18_bot_half.png"" width=""300"" height=""300"" >","<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_20/pair_17_mat_2_dim_10_r_38.png"" width=""300"" height=""300"" >",18,38
18,top,"<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_20/pair_18_mat_1_dim_10_r_29_top_half.png"" width=""300"" height=""300"" >","<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_20/pair_18_mat_1_dim_10_r_62.png"" width=""300"" height=""300"" >",29,62,"<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_20/pair_18_mat_2_dim_10_r_20_top_half.png"" width=""300"" height=""300"" >","<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_20/pair_18_mat_2_dim_10_r_51.png"" width=""300"" height=""300"" >",20,51
19,top,"<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_20/pair_19_mat_1_dim_10_r_23_top_half.png"" width=""300"" height=""300"" >","<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_20/pair_19_mat_1_dim_10_r_48.png"" width=""300"" height=""300"" >",23,48,"<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_20/pair_19_mat_2_dim_10_r_26_top_half.png"" width=""300"" height=""300"" >","<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_20/pair_19_mat_2_dim_10_r_52.png"" width=""300"" height=""300"" >",26,52
20,top,"<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_20/pair_20_mat_1_dim_10_r_28_top_half.png"" width=""300"" height=""300"" >","<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_20/pair_20_mat_1_dim_10_r_52.png"" width=""300"" height=""300"" >",28,52,"<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_20/pair_20_mat_2_dim_10_r_25_top_half.png"" width=""300"" height=""300"" >","<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_20/pair_20_mat_2_dim_10_r_48.png"" width=""300"" height=""300"" >",25,48
